name,melakarta,parent,cakram,alternate_names,arohanam,avarohanam,anya_svarams
vAgadIsvari,34,NULL,Rutu,,"S,R3,G3,M1,P,D1,N1,S","S,N1,D1,P,M1,G3,R3,S",
vAgISvari,,1,,,"S,R1,G1,M1,P,D1,Ṡ","Ṡ,D1,M1,P,G1,R1,S",
vaiSalini,,46,,,"R1,G2,M2,D2,N2","N2,D2,M2,G2,R1",
vaishaka,,53,,,"S,R1,G3,M2,P,D2,N3,Ṡ","Ṡ,N3,D2,N3,P,M2,G3,M2,R1,S",
vaishNavi,,28,,,"S,R2,G3,M1,P,D2,Ṡ","Ṡ,D2,P,M1,G3,R2,S",
vajrakAnti,,22,,,"S,G2,M1,P,N2,Ṡ","Ṡ,N2,D1,P,M1,G2,R2,S",
vakuLAbharaNam,14,NULL,Agni,,"S,R1,G3,M1,P,D1,N2,S","S,N2,D1,P,M1,G3,R1,S",
valaji,,16,,,"S,G3,P,D2,N2,Ṡ","Ṡ,N2,D2,P,G3,S",
vallabhi,,29,,,"S,R2,G3,M1,P,D2,N3,Ṡ","Ṡ,N3,D2,N3,D2,P,M1,P,G3,M1,R2,S",
vamSavati,,54,,,"S,R1,G3,M2,P,D3,N3,Ṡ","Ṡ,N3,P,M2,G3,R1,S",
vanaspati,4,NULL,Indu,,"S,R1,G1,M1,P,D2,N2,S","S,N2,D2,P,M1,G1,R1,S",
vanAvaLi,,4,,,"S,R1,M1,P,D2,N2,Ṡ","Ṡ,D2,P,M1,R1,S",
vandanadhAriNi,,65,,,"S,R2,M2,P,D2,Ṡ","Ṡ,D2,P,M2,R2,S",
varada,,59,,,"S,R2,M2,P,N3,Ṡ","Ṡ,N3,P,M2,R2,S",
varALi,,39,,,"S,G1,R1,G1,M2,P,D1,N3,Ṡ","Ṡ,N3,D1,P,M2,G1,R1,S",
vardhani,,11,,,"S,G2,M1,P,M1,P,D2,N3,Ṡ","Ṡ,N3,D2,P,M1,G2,R1,S",
varuNapriya,24,NULL,Veda,,"S,R2,G2,M1,P,D3,N3,S","S,N3,D3,P,M1,G2,R2,S",
vasanta,,17,,,"S,M1,G3,M1,D2,N3,Ṡ","Ṡ,N3,D2,M1,G3,R1,S",
vasantabhairavi,,14,,,"S,R1,G3,M1,D1,N2,Ṡ","Ṡ,N2,D1,M1,P,M1,G3,R1,S",
vasantamalai,,29,,,"S,R2,M1,P,N3,Ṡ","Ṡ,D2,P,M1,R2,S",
vasantamalli,,11,,,"S,G2,M1,P,N3,Ṡ","Ṡ,D2,P,M1,G2,S",
vasantamanOhari,,21,,,"S,R2,G2,M1,D1,N3,Ṡ","Ṡ,N3,D1,M1,G2,R2,S",
vasantamukhAri,,14,,,"S,M1,G3,M1,P,D1,N2,Ṡ","Ṡ,N2,D1,P,M1,G3,R1,S",
vasantanArAyaNi,,11,,,"S,R1,G2,M1,P,Ṡ","Ṡ,N3,D2,P,M1,G2,R1,S",
vasantaSrI,,23,,ambAmanOhari,"S,R2,G2,M1,D2,N3,Ṡ","Ṡ,N3,D2,M1,G2,R2,S",
vasantatODi,,9,,,"S,R1,G2,M1,D1,N3,Ṡ","Ṡ,N3,D1,M1,R1,S",
vasantavarALi,,20,,,"S,R2,M1,P,D1,Ṡ","Ṡ,N2,D1,P,G2,R2,S",
